skill_id,skill_name,skill_type,reuse_level,description
define-ict-network-design-policies,define ICT network design policies,skill/competence,occupation-specific,"Specify policies, principles, rules, processes and criteria for the design, planning and realisation of ICT networks."
define-integration-strategy,define integration strategy,skill/competence,sector-specific,"Specify strategies for system integration, incorporating the time schedule, the processes required to combine components into subsystems and systems, the means on how components will interface as well as the risks associated with the integration."
define-manufacturing-quality-criteria,define manufacturing quality criteria,skill/competence,sector-specific,"Define and describe the criteria by which data quality is measured for manufacturing purposes, such as international standards and manufacturing regulations."
define-measurable-marketing-objectives,define measurable marketing objectives,skill/competence,cross-sector,"Outline the measurable performance indicators of the marketing plan such as market share, customer value, brand awareness, and sales revenues. Follow up on the progress of these indicators during the development of the marketing plan."
define-organisational-standards,define organisational standards,skill/competence,cross-sector,"Write, implement and foster the internal standards of the company as part of the business plans for the operations and levels of performance that the company intends to achieve."
define-security-policies,define security policies,skill/competence,sector-specific,"Design and execute a written set of rules and policies that have the aim of securing an organisation concerning constraints on behaviour between stakeholders, protective mechanical constraints and data-access constraints."
define-software-architecture,define software architecture,skill/competence,sector-specific,"Create and document the structure of software products including components, coupling and interfaces. Ensure feasibility, functionality and compatibility with existing platforms."
define-technical-requirements,define technical requirements,skill/competence,cross-sector,"Specify technical properties of goods, materials, methods, processes, services, systems, software and functionalities by identifying and responding to the particular needs that are to be satisfied according to customer requirements."
define-technology-strategy,define technology strategy,skill/competence,sector-specific,"Create an overall plan of objectives, practices, principles and tactics related to the use of technologies within an organisation and describe the means to reach the objectives."
deliver-a-sales-pitch,deliver a sales pitch,skill/competence,sector-specific,"Prepare and deliver an understandably constructed sales talk for a product or a service, identifying and using persuasive argumentation."
deliver-online-training,deliver online training,skill/competence,cross-sector,"Provide training by using online technologies, adapting the learning materials, using e-learning methods, supporting the trainees and communicating online. Instruct virtual classrooms."
deliver-visual-presentation-of-data,deliver visual presentation of data,skill/competence,cross-sector,Create visual representations of data such as charts or diagrams for easier understanding.
demonstrate-disciplinary-expertise,demonstrate disciplinary expertise,skill/competence,cross-sector,"Demonstrate deep knowledge and complex understanding of a specific research area, including responsible research, research ethics and scientific integrity principles, privacy and GDPR requirements, related to research activities within a specific discipline."
demonstrate-games,demonstrate games,skill/competence,cross-sector,Explain and demonstrate games and game rules to new players/visitors.
demonstrate-motivation-for-sales,demonstrate motivation for sales,skill/competence,sector-specific,Show incentives that drive someone to reach sales goals and business targets.
demonstrate-products-features,demonstrate products' features,skill/competence,sector-specific,"Demonstrate how to use a product in a correct and safe manner, provide customers with information on the product's main features and benefits, explain operation, correct use and maintenance. Persuade potential customers to purchase items."
demonstrate-when-teaching,demonstrate when teaching,skill/competence,cross-sector,"Present to others examples of your experience, skills, and competences that are appropriate to specific learning content to help students in their learning."
deploy-cloud-resource,deploy cloud resource,skill/competence,sector-specific,"Identify and execute steps required to provision cloud resources, such as networks, servers, storage, applications, GPUs, and services. Define the cloud global infrastructure and remediate deployment issues."
deploy-ict-systems,deploy ICT systems,skill/competence,sector-specific,"Deliver and instalI computers or ICT systems, ensuring testing and preparation for use."
design-2d-pattern-for-footwear-3d-visualisation,design 2D pattern for footwear 3D visualisation,skill/competence,sector-specific,"Prepare the 2D pattern, identify the positioning of elements and possibility of type and properties of footwear choice, for visualisation on the 3D avatar as well as the rendering technologies to obtain a realistic garment."
design-application-interfaces,design application interfaces,skill/competence,sector-specific,"Create and program application interfaces, their operations, inputs and outputs and underlying types."
design-automation-components,design automation components,skill/competence,cross-sector,"Design engineering parts, assemblies, products, or systems that contribute to the automation of industrial machines."
design-circuit-boards,design circuit boards,skill/competence,cross-sector,"Draught circuit boards used in electronic product such as cell phones and computers, make sure to include integrated circuits and microchips in the design."
design-cloud-architecture,design cloud architecture,skill/competence,sector-specific,"Design a multi-tier cloud architecture solution, which tolerates faults and is fit for the workload and other business needs. Identify elastic and scalable computing solutions, select high-performing and scalable storage solutions, and choose high-performing database solutions. Identify cost-effective storage, computing, and database services in the cloud."
design-cloud-networks,design cloud networks,skill/competence,sector-specific,"Apply cloud networking concepts and implement connectivity services of cloud. Given customer requirements, define network architectures on cloud, propose optimized designs based on the evaluation of an existing implementation. Evaluate and optimize cost allocations given a network design, its cloud resources, and application data flow."
design-component-interfaces,design component interfaces,skill/competence,occupation-specific,Use methods and tools to design and program interfaces of software and system components.
