skill_id,skill_name,skill_type,reuse_level,description
printed-goods-processes,printed goods processes,knowledge,cross-sector,"The various types and characteristics of producing printed goods such as catalogues, flyers, etc."
printing-materials,printing materials,knowledge,sector-specific,"The materials, such as paper, film, metal foils, and glass, on which texts or designs can be transferred by applying ink through direct pressure or with intermediate rollers."
printing-on-large-scale-machines,printing on large scale machines,knowledge,sector-specific,"Methods, processes, and restrictions related to printing on machines that produce large quantities and sizes of graphic print materials."
printing-techniques,printing techniques,knowledge,cross-sector,"The techniques and processes to reproduce text and images using a master form or template such as letterpress printing, gravure, and laser printing."
prioritise-requests,prioritise requests,skill/competence,cross-sector,Prioritise incidents and requests reported by customers or clients. Respond professionaly and in a timely fashion.
process-customer-orders,process customer orders,skill/competence,cross-sector,"Handle orders placed by customers. Receive the customer order and define a list of requirements, a working process, and a time frame. Execute the work as planned."
process-customer-requests-based-on-the-reach-regulation-1907-2006,process customer requests based on the REACh Regulation 1907 2006,skill/competence,sector-specific,Reply to private consumer requests according to REACh Regulation 1907/2006 whereby chemical Substances of Very High Concern (SVHC) should be minimal. Advise customers on how to proceed and protect themselves if the presence of SVHC is higher than expected.
process-data,process data,skill/competence,cross-sector,"Enter information into a data storage and data retrieval system via processes such as scanning, manual keying or electronic data transfer in order to process large amounts of data."
process-based-management,Process-based management,knowledge,sector-specific,"The process-based management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools."
procurement-of-ict-network-equipment,procurement of ICT network equipment,knowledge,sector-specific,The products available from network equipment providers and methods for selecting and procuring the equipment.
produce-sales-reports,produce sales reports,skill/competence,sector-specific,"Maintain records of calls made and products sold over a given time frame, including data regarding sales volumes, number of new accounts contacted and the costs involved."
product-comprehension,product comprehension,knowledge,sector-specific,"The offered products, their functionalities, properties and legal and regulatory requirements."
product-data-management,product data management,knowledge,cross-sector,"The use of software to track all information concerning a product such as technical specifications, drawings, design specifications, and production costs."
product-life-cycle,product life-cycle,knowledge,sector-specific,The management of the life-cycle of a product from the development stages to the market entry and market removal.
product-usage-risks-analysis,product usage risks analysis,knowledge,cross-sector,"The methods to analyse product associated risks, in possible customer environment, their magnitude, consequences and likely outcomes in order to mitigate them by warning messages, safety instructions and maintenance support."
production-processes,production processes,knowledge,cross-sector,Materials and techniques required in the production and distribution processes.
program-a-cnc-controller,program a CNC controller,skill/competence,cross-sector,Set up the desired product design in the CNC controller of the CNC machine for product manufacturing.
program-firmware,program firmware,skill/competence,cross-sector,"Program permanent software with a read-only memory (ROM) on a hardware device, such as an integrated circuit."
program-sound-cues,program sound cues,skill/competence,sector-specific,Program sound cues and rehearse sound states before or during rehearsals.
programmable-logic-controller,programmable logic controller,knowledge,cross-sector,Programmable logic controllers or PLC's are computer control systems used for the monitoring and control of input and output as well as the automation of electromechanical processes.
project-anarchy,Project Anarchy,knowledge,sector-specific,"The mobile game engine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
project-configuration-management,project configuration management,knowledge,cross-sector,"The process for the effective management of the key project artefacts and deliverables, ensuring that the correct versions are delivered to the project requestor and allowing project managers to identify the latest state of project artefacts and be able to gather all sources, documents, and other information for the project, prevent unauthorised changes, guarantee artefacts traceability and return"
project-management,project management,knowledge,sector-specific,"Understand project management and the activities which comprise this area. Know the variables implied in project management such as time, resources, requirements, deadlines, and responding to unexpected events."
projection-equipment,projection equipment,knowledge,occupation-specific,"The different types of projection equipment, their properties, and usages."
prolog-computer-programming,Prolog (computer programming),knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Prolog."
promote-education-programmes,promote education programmes,skill/competence,cross-sector,"Promote ongoing research into education and the development of new education programmes and policies in order to obtain support and funds, and to raise awareness."
promote-environmental-awareness,promote environmental awareness,skill/competence,cross-sector,Promote sustainability and raise awareness about the environmental impact of human and industrial activity based on the carbon footprints of business processes and other practices.
promote-open-innovation-in-research,promote open innovation in research,skill/competence,cross-sector,"Apply techniques, models, methods and strategies which contribute to the promotion of steps towards innovation through collaboration with people and organizations outside the organisation."
promote-the-participation-of-citizens-in-scientific-and-research-activities,promote the participation of citizens in scientific and research activities,skill/competence,cross-sector,"Engage citizens in scientific and research activities and promote their contribution in terms of knowledge, time or resources invested."
promote-the-transfer-of-knowledge,promote the transfer of knowledge,skill/competence,cross-sector,"Deploy broad awareness of processes of knowledge valorisation aimed to maximise the two–way flow of technology, intellectual property, expertise and capability between the research base and industry or the public sector."
proofread-text,proofread text,skill/competence,cross-sector,"Read a text thoroughly, search for, review and correct errors to ensure content is valid for publishing."
properties-of-fabrics,properties of fabrics,knowledge,cross-sector,"The influence of chemical composition and molecular arrangement of yarn and fibre properties and fabric structure on the physical properties of textile fabrics; the different fibre types, their physical and chemical characteristics and different material characteristics; the materials used in different processes and the effect on materials as they are processed."
propose-ict-solutions-to-business-problems,propose ICT solutions to business problems,skill/competence,cross-sector,"Suggest how to solve business issues, using ICT means, so that business processes are improved."
propose-improvements-to-artistic-production,propose improvements to artistic production,skill/competence,sector-specific,Assess past artistic activities with a view to improving future projects.
prospect-new-customers,prospect new customers,skill/competence,sector-specific,"Initiate activities in order to attract new and interesting customers. Ask for recommendations and references, find places where potential customers can be located."
prosthetic-devices,prosthetic devices,knowledge,sector-specific,"The various artificial replacements of body parts or limbs, which were lost during a trauma, disease or an accident."
protect-ict-devices,protect ICT devices,skill/competence,cross-sector,"Protect devices and digital content, and understand risks and threats in digital environments. Know about safety and security measures and have due regard to reliability and privacy. Make use of tools and methods which maximise security of ICT devices and information by controlling access, such as passwords, digital signatures, biometry, and protecting systems such as firewall, antivirus, spam fil"
protect-personal-data-and-privacy,protect personal data and privacy,skill/competence,cross-sector,Protect personal data and privacy in digital environments. Understand how to use and share personally identifiable information while being able to protect oneself and others from damages. Understand that digital services use a “Privacy policy” to inform how personal data is used.
prototyping-development,Prototyping development,knowledge,sector-specific,The prototyping development model is a methodology to design software systems and applications.
prototyping-in-the-wearing-apparel-industry,prototyping in the wearing apparel industry,knowledge,occupation-specific,"The main principles of prototyping for the manufacturing of wearing apparel and made-up textiles: sizes, body measurements, specification, and behaviour of fabrics after cutting."
provide-assistive-technology,provide assistive technology,skill/competence,occupation-specific,Provide persons with assistive technology to enable them to perform activities more functionally.
provide-cost-benefit-analysis-reports,provide cost benefit analysis reports,skill/competence,cross-sector,"Prepare, compile and communicate reports with broken down cost analysis on the proposal and budget plans of the company. Analyse the financial or social costs and benefits of a project or investment in advance over a given period of time."
provide-customer-follow-up-services,provide customer follow-up services,skill/competence,cross-sector,"Register, follow-up, solve and respond to customer requests, complaints and after-sales services."
provide-documentation,provide documentation,skill/competence,cross-sector,Prepare and distribute documentation to ensure all people involved in the production receive relevant and up-to-date information.
provide-education-management-support,provide education management support,skill/competence,sector-specific,Support the management of an education institution by directly assisting in the managerial duties or by providing information and guidance from your area of expertise to simplify the managerial tasks.
provide-feedback-to-teachers,provide feedback to teachers,skill/competence,cross-sector,"Communicate with the teacher in order to provide them with detailed feedback on their teaching performance, class management and curriculum adherence."
provide-guidelines-for-content-development,provide guidelines for content development,skill/competence,sector-specific,"Develop standards and structures for content development such as formats, styles, layout, structures, content types, terminology, XML and DITA. Implement them in document type definitions and apply them during work process and evaluate results in light of established standards."
provide-ict-consulting-advice,provide ICT consulting advice,skill/competence,sector-specific,"Advise on appropriate solutions in the field of ICT by selecting alternatives and optimising decisions while taking into account potential risks, benefits and overall impact to professional customers."
provide-ict-support,provide ICT support,skill/competence,cross-sector,"Resolve ICT-related incidents and service requests from customers, clients or colleagues including password resets and updating databases such as Microsoft Exchange email."
provide-ict-system-training,provide ICT system training,skill/competence,sector-specific,"Plan and conduct training of staff on system and network issues. Utilise training material, evaluate and report on the learning progress of trainees."
provide-information,provide information,skill/competence,cross-sector,"Ensure quality and correctness of provided information, depending on the type of audience and context."
provide-legal-advice,provide legal advice,skill/competence,cross-sector,"Provide advice to clients in order to ensure that their actions are compliant with the law, as well as most beneficial for their situation and specific case, such as providing information, documentation, or advice on the course of action for a client should they want to take legal action or legal action is taken against them."
provide-lesson-materials,provide lesson materials,skill/competence,cross-sector,"Ensure that the necessary materials for teaching a class, such as visual aids, are prepared, up-to-date, and present in the instruction space."
provide-multimedia-content,provide multimedia content,skill/competence,sector-specific,"Develop multimedia materials such as screen shots, graphics, slide shows, animations and videos to be used as content integrated in a broader informational context."
provide-software-testing-documentation,provide software testing documentation,skill/competence,sector-specific,Describe software testing procedures to technical team and analysis of test outcomes to users and clients in order to inform them about state and efficiency of software.
provide-specialised-instruction-for-special-needs-students,provide specialised instruction for special needs students,skill/competence,sector-specific,"Instruct students in need of specialised attention, often in small groups, catering to their individual needs, disorders, and disabilities. Promote the psychological, social, creative or physical development of children and teenagers using specific methods such as concentration exercises, role-plays, movement training, and painting."
provide-technical-documentation,provide technical documentation,skill/competence,cross-sector,"Prepare documentation for existing and upcoming products or services, describing their functionality and composition in such a way that it is understandable for a wide audience without technical background and compliant with defined requirements and standards. Keep documentation up to date."
provide-technical-training,provide technical training,skill/competence,cross-sector,Explain and demonstrate the use of training equipment and system functions.
provide-training-on-technological-business-developments,provide training on technological business developments,skill/competence,occupation-specific,Give training to colleagues on the technological innovation projects and functional implementations in a business which improves the organisation's business efficiency.
provide-user-documentation,provide user documentation,skill/competence,cross-sector,"Develop and organise the distribution of structured documents to assist people using a particular product or system, such as written or visual information about an application system and how to use it."
provide-written-content,provide written content,skill/competence,cross-sector,Communicate information in written form via digital or print media according to the needs of the target group. Structure the content according to specifications and standards. Apply grammar and spelling rules.
proxy-servers,proxy servers,knowledge,sector-specific,"The proxy tools which act as an intermediary for requests from users searching for resources e.g. files and web pages from other servers such as Burp, WebScarab, Charles or Fiddler."
publicity-code,publicity code,knowledge,occupation-specific,"The legislation and rules of publicity when presenting a product in text, pictures or other symbols."
publish-academic-research,publish academic research,skill/competence,cross-sector,"Conduct academic research, in universities and research institutions, or on a personal account, publish it in books or academic journals with the aim of contributing to a field of expertise and achieving personal academic accreditation."
publishing-industry,publishing industry,knowledge,cross-sector,"Key stakeholders in the publishing industry. Acquisition, marketing and distribution of newspapers, books, magazines and other informative works, including electronic media."
publishing-strategy,publishing strategy,knowledge,sector-specific,"The methods, rules, media and tools of publishing content from content management systems in single sources or cross media."
puppet-tools-for-software-configuration-management,Puppet (tools for software configuration management),knowledge,sector-specific,"The tool Puppet is a software program to perform configuration identification, control, status accounting and audit."
purchase-music,purchase music,skill/competence,occupation-specific,Purchase the rights to music pieces while making sure all legal requirements are met.
python-computer-programming,Python (computer programming),knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Python."
qlikview-expressor,QlikView Expressor,knowledge,sector-specific,"The computer program QlikView Expressor is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company Qlik."
quality-and-cycle-time-optimisation,quality and cycle time optimisation,knowledge,cross-sector,The most optimal rotation or cycle time and over-all quality of a tool or a machine's processes.
quality-assurance-methodologies,quality assurance methodologies,knowledge,cross-sector,"Quality assurance principles, standard requirements, and the set of processes and activities used for measuring, controlling and ensuring the quality of products and processes."
quality-assurance-procedures,quality assurance procedures,knowledge,cross-sector,The procedures to inspect a product or system to ensure that it is according to specifications and requirements.
quality-standards,quality standards,knowledge,cross-sector,"The national and international requirements, specifications and guidelines to ensure that products, services and processes are of good quality and fit for purpose."
query-languages,query languages,knowledge,sector-specific,The field of standardised computer languages for retrieval of information from a database and of documents containing the needed information.
r,R,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in R."
rage-digital-game-creation-systems,RAGE (digital game creation systems),knowledge,sector-specific,"The software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
rapid-application-development,Rapid application development,knowledge,sector-specific,The rapid application development model is a methodology to design software systems and applications.
read-assembly-drawings,read assembly drawings,skill/competence,cross-sector,Read and interpret drawings listing all the parts and subassemblies of a certain product. The drawing identifies the different components and materials and provides instructions on how to assemble a product.
read-engineering-drawings,read engineering drawings,skill/competence,cross-sector,"Read the technical drawings of a product made by the engineer in order to suggest improvements, make models of the product or operate it."
read-lighting-plans,read lighting plans,skill/competence,sector-specific,Read the instructions on the light plan to determine the light equipment needed and the right placement.
read-musical-score,read musical score,skill/competence,sector-specific,Read the musical score during rehearsal and live performance.
read-standard-blueprints,read standard blueprints,skill/competence,cross-sector,"Read and comprehend standard blueprints, machine, and process drawings."
real-time-computing,real-time computing,knowledge,occupation-specific,The ICT hardware and software systems which are bound to respond to input within precisely tight constraints of time
recognise-indicators-of-gifted-student,recognise indicators of gifted student,skill/competence,cross-sector,"Observe students during instruction and identify signs of exceptionally high intelligence in a student, such as showing remarkable intellectual curiosity or showing restlessness due to boredom and or feelings of not being challenged."
record-customers-personal-data,record customers' personal data,skill/competence,sector-specific,Gather and record customers' personal data into the system; obtain all signatures and documents required for rental.
record-multi-track-sound,record multi-track sound,skill/competence,sector-specific,Recording and mixing audio signals from different sound sources on a multi-track recorder.
record-music,record music,skill/competence,sector-specific,Record a sound or musical performance in a studio or live environment. Use the appropriate equipment and your professional judgment to capture the sounds with optimal fidelity.
record-test-data,record test data,skill/competence,cross-sector,Record data which has been identified specifically during preceding tests in order to verify that outputs of the test produce specific results or to review the reaction of the subject under exceptional or unusual input.
recruit-employees,recruit employees,skill/competence,cross-sector,"Hire new employees by scoping the job role, advertising, performing interviews and selecting staff in line with company policy and legislation."
regulations-on-substances,regulations on substances,knowledge,sector-specific,"The national and international regulations on the classification, labelling and packaging of substances and mixtures, e.g. regulation (EC) No 1272/2008."
remove-computer-virus-or-malware-from-a-computer,remove computer virus or malware from a computer,skill/competence,cross-sector,Carry out actions to remove computer viruses or other types of malware from a computer.
remove-defective-products,remove defective products,skill/competence,cross-sector,Remove defective materials from the production line.
