skill_id,skill_name,skill_type,reuse_level,description
internet-governance,internet governance,knowledge,sector-specific,"The principles, regulations, norms and programs that shape the evolution and use of internet, such as internet domain names management, registries and registrars, according to ICANN/IANA regulations and recommendations, IP addresses and names, name servers, DNS, TLDs and aspects of IDNs and DNSSEC."
internet-of-things,Internet of Things,knowledge,sector-specific,"The general principles, categories, requirements, limitations and vulnerabilities of smart connected devices (most of them with intended internet connectivity)."
interpret-artistic-intentions,interpret artistic intentions,skill/competence,sector-specific,Interpret the artistic intentions of the author.
interpret-current-data,interpret current data,skill/competence,cross-sector,"Analyse data gathered from sources such as market data, scientific papers, customer requirements and questionnaires which are current and up-to-date in order to assess development and innovation in areas of expertise."
interpret-electronic-design-specifications,interpret electronic design specifications,skill/competence,sector-specific,Analyse and understand detailed electronic design specifications.
interpret-floor-plans,interpret floor plans,skill/competence,sector-specific,Understand the results of moving the position of objects and patterns on floor plans by thinking three-dimensionally.
interpret-illustration-needs,interpret illustration needs,skill/competence,sector-specific,"Communicate with clients, editors and authors in order to interpret and fully understand their professional needs."
interpret-technical-requirements,interpret technical requirements,skill/competence,sector-specific,"Analyse, understand and apply the information provided regarding technical conditions."
interpret-technical-texts,interpret technical texts,skill/competence,sector-specific,"Read and understand technical texts that provide information on how to perform a task, usually explained in steps."
intervene-with-actions-on-stage,intervene with actions on stage,skill/competence,sector-specific,"Take your cues from actions on the stagte and interact with them. Take decision on the exact timing and procedure in a live environment, in order to product a fluid and consistent performance."
introduce-new-employees,introduce new employees,skill/competence,cross-sector,"Give new employees a tour in the company, introduce them to the colleagues, explain them the corporate culture, routines and working methods and get them settled in their working place."
investment-analysis,investment analysis,knowledge,sector-specific,The methods and tools for analysis of an investment compared to its potential return. Identification and calculation of profitability ratio and financial indicators in relation to associated risks to guide decision on investment.
ios,iOS,knowledge,sector-specific,"The system software iOS consists of features, restrictions, architectures and other characteristics of operating systems designed to run on mobile devices."
issue-purchase-orders,issue purchase orders,skill/competence,sector-specific,Produce and review the documents needed to authorise shipment of a product from the supplier at a specified price and within specific terms.
iterative-development,Iterative development,knowledge,sector-specific,The iterative development model is a methodology to design software systems and applications.
